subject	session	task	status	action	dest_session	dest_run	raw_path	bold_path	same_task_other_sessions	notes
sub-s03	ses-02	stopSignal	matched	copy	ses-02		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-02/stop_signal_single_task_network__fmri_results (4).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-02/func/sub-s03_ses-02_task-stopSignal_run-1_echo-1_bold.nii.gz		- **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |; **Action**: Update `config/behavioral_session_mapping.json` to remap s03 ses-02 nBack → ses-01 output, then re-run migration.
sub-s03	ses-03	goNogo	matched	copy	ses-03		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-03/go_nogo_single_task_network__fmri_results (10).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-03/func/sub-s03_ses-03_task-goNogo_run-1_echo-1_bold.nii.gz		
sub-s03	ses-03	nBack	matched	copy	ses-03		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-03/n_back_single_task_network__fmri_results (11).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-03/func/sub-s03_ses-03_task-nBack_run-1_echo-1_bold.nii.gz		- Scan 1: Missing T2w; issue with nBack.; - **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |
sub-s03	ses-03	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-03/func/sub-s03_ses-03_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-03	shapeMatching	matched	copy	ses-03		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-03/shape_matching_single_task_network__fmri_results (8).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-03/func/sub-s03_ses-03_task-shapeMatching_run-1_echo-1_bold.nii.gz		
sub-s03	ses-03	spatialTS	matched	copy	ses-03		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-03/spatial_task_switching_single_task_network__fmri_results (9).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-03/func/sub-s03_ses-03_task-spatialTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-04	cuedTS	matched	copy	ses-04		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-04/cued_task_switching_single_task_network__fmri_results (10).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-04/func/sub-s03_ses-04_task-cuedTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-04	directedForgetting	matched	copy	ses-04		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-04/directed_forgetting_single_task_network__fmri_results (7).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-04/func/sub-s03_ses-04_task-directedForgetting_run-1_echo-1_bold.nii.gz		
sub-s03	ses-04	flanker	matched	copy	ses-04		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-04/flanker_single_task_network__fmri_results (17).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-04/func/sub-s03_ses-04_task-flanker_run-1_echo-1_bold.nii.gz		
sub-s03	ses-04	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-04/func/sub-s03_ses-04_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-04	stopSignal	matched	copy	ses-04		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-04/stop_signal_single_task_network__fmri_results (9).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-04/func/sub-s03_ses-04_task-stopSignal_run-1_echo-1_bold.nii.gz		
sub-s03	ses-05	goNogo	matched	copy	ses-05		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-05/go_nogo_single_task_network__fmri_results (15).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-05/func/sub-s03_ses-05_task-goNogo_run-1_echo-1_bold.nii.gz		
sub-s03	ses-05	nBack	matched	copy	ses-05		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-05/n_back_single_task_network__fmri_results (16).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-05/func/sub-s03_ses-05_task-nBack_run-1_echo-1_bold.nii.gz		- Scan 1: Missing T2w; issue with nBack.; - **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |
sub-s03	ses-05	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-05/func/sub-s03_ses-05_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-05	shapeMatching	matched	copy	ses-05		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-05/shape_matching_single_task_network__fmri_results (13).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-05/func/sub-s03_ses-05_task-shapeMatching_run-1_echo-1_bold.nii.gz		
sub-s03	ses-05	spatialTS	matched	copy	ses-05		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-05/spatial_task_switching_single_task_network__fmri_results (14).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-05/func/sub-s03_ses-05_task-spatialTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-06	cuedTS	matched	copy	ses-06		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-06/cued_task_switching_single_task_network__fmri_results (14).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-06/func/sub-s03_ses-06_task-cuedTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-06	directedForgetting	matched	copy	ses-06		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-06/directed_forgetting_single_task_network__fmri_results (12).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-06/func/sub-s03_ses-06_task-directedForgetting_run-1_echo-1_bold.nii.gz		
sub-s03	ses-06	flanker	matched	copy	ses-06		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-06/flanker_single_task_network__fmri_results (27).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-06/func/sub-s03_ses-06_task-flanker_run-1_echo-1_bold.nii.gz		
sub-s03	ses-06	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-06/func/sub-s03_ses-06_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-06	stopSignal	matched	copy	ses-06		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-06/stop_signal_single_task_network__fmri_results (13).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-06/func/sub-s03_ses-06_task-stopSignal_run-1_echo-1_bold.nii.gz		
sub-s03	ses-07	goNogo	matched	copy	ses-07		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-07/go_nogo_single_task_network__fmri_results (22).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-07/func/sub-s03_ses-07_task-goNogo_run-1_echo-1_bold.nii.gz		
sub-s03	ses-07	nBack	matched	copy	ses-07		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-07/n_back_single_task_network__fmri_results (23).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-07/func/sub-s03_ses-07_task-nBack_run-1_echo-1_bold.nii.gz		- Scan 1: Missing T2w; issue with nBack.; - **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |
sub-s03	ses-07	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-07/func/sub-s03_ses-07_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-07	shapeMatching	matched	copy	ses-07		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-07/shape_matching_single_task_network__fmri_results (20).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-07/func/sub-s03_ses-07_task-shapeMatching_run-1_echo-1_bold.nii.gz		
sub-s03	ses-07	spatialTS	matched	copy	ses-07		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-07/spatial_task_switching_single_task_network__fmri_results (21).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-07/func/sub-s03_ses-07_task-spatialTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-08	cuedTS	matched	copy	ses-08		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-08/cued_task_switching_single_task_network__fmri_results (21).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-08/func/sub-s03_ses-08_task-cuedTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-08	directedForgetting	matched	copy	ses-08		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-08/directed_forgetting_single_task_network__fmri_results (20).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-08/func/sub-s03_ses-08_task-directedForgetting_run-1_echo-1_bold.nii.gz		
sub-s03	ses-08	flanker	matched	copy	ses-08		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-08/flanker_single_task_network__fmri_results (41).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-08/func/sub-s03_ses-08_task-flanker_run-1_echo-1_bold.nii.gz		
sub-s03	ses-08	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-08/func/sub-s03_ses-08_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-08	stopSignal	matched	copy	ses-08		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-08/stop_signal_single_task_network__fmri_results (21).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-08/func/sub-s03_ses-08_task-stopSignal_run-1_echo-1_bold.nii.gz		
sub-s03	ses-09	goNogo	matched	copy	ses-09		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-09/go_nogo_single_task_network__fmri_results (25).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-09/func/sub-s03_ses-09_task-goNogo_run-1_echo-1_bold.nii.gz		
sub-s03	ses-09	nBack	matched	copy	ses-09		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-09/n_back_single_task_network__fmri_results (26).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-09/func/sub-s03_ses-09_task-nBack_run-1_echo-1_bold.nii.gz		- Scan 1: Missing T2w; issue with nBack.; - **Behavioral-BOLD Discrepancy (Mar 2026)**: ses-01 nBack behavioral CSV is in raw ses-02 directory. Salvageable by updating session mapping.; | **s03** | 01 | nBack | Behavioral CSV in raw ses-02, BOLD in ses-01 | Salvageable — update session mapping |
sub-s03	ses-09	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-09/func/sub-s03_ses-09_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-10:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-09	shapeMatching	matched	copy	ses-09		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-09/shape_matching_single_task_network__fmri_results (23).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-09/func/sub-s03_ses-09_task-shapeMatching_run-1_echo-1_bold.nii.gz		
sub-s03	ses-09	spatialTS	matched	copy	ses-09		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-09/spatial_task_switching_single_task_network__fmri_results (24).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-09/func/sub-s03_ses-09_task-spatialTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-10	cuedTS	matched	copy	ses-10		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-10/cued_task_switching_single_task_network__fmri_results (23).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-10/func/sub-s03_ses-10_task-cuedTS_run-1_echo-1_bold.nii.gz		
sub-s03	ses-10	directedForgetting	matched	copy	ses-10		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-10/directed_forgetting_single_task_network__fmri_results (22).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-10/func/sub-s03_ses-10_task-directedForgetting_run-1_echo-1_bold.nii.gz		
sub-s03	ses-10	flanker	matched	copy	ses-10		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-10/flanker_single_task_network__fmri_results (47).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-10/func/sub-s03_ses-10_task-flanker_run-1_echo-1_bold.nii.gz		
sub-s03	ses-10	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-10/func/sub-s03_ses-10_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-11:bold_only,ses-12:bold_only	
sub-s03	ses-10	stopSignal	matched	copy	ses-10		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-10/stop_signal_single_task_network__fmri_results (23).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-10/func/sub-s03_ses-10_task-stopSignal_run-1_echo-1_bold.nii.gz		
sub-s03	ses-11	directedForgettingWFlanker	matched	copy	ses-11		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-11/directed_forgetting_with_flanker__fmri_results (6).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-11/func/sub-s03_ses-11_task-directedForgettingWFlanker_run-1_echo-1_bold.nii.gz		
sub-s03	ses-11	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-11/func/sub-s03_ses-11_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-12:bold_only	
sub-s03	ses-11	stopSignalWDirectedForgetting	matched	copy	ses-11		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-11/stop_signal_with_directed_forgetting__fmri_results (6).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-11/func/sub-s03_ses-11_task-stopSignalWDirectedForgetting_run-1_echo-1_bold.nii.gz		
sub-s03	ses-11	stopSignalWFlanker	matched	copy	ses-11		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-11/stop_signal_with_flanker__fmri_results (7).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-11/func/sub-s03_ses-11_task-stopSignalWFlanker_run-1_echo-1_bold.nii.gz		
sub-s03	ses-12	directedForgettingWFlanker	matched	copy	ses-12		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-12/directed_forgetting_with_flanker__fmri_results (7).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-12/func/sub-s03_ses-12_task-directedForgettingWFlanker_run-1_echo-1_bold.nii.gz		
sub-s03	ses-12	rest	bold_without_behavioral	skip				/scratch/users/logben/discovery_bids/sub-s03/ses-12/func/sub-s03_ses-12_task-rest_run-1_echo-1_bold.nii.gz	ses-01:bold_only,ses-02:bold_only,ses-03:bold_only,ses-04:bold_only,ses-05:bold_only,ses-06:bold_only,ses-07:bold_only,ses-08:bold_only,ses-09:bold_only,ses-10:bold_only,ses-11:bold_only	
sub-s03	ses-12	stopSignalWDirectedForgetting	matched	copy	ses-12		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-12/stop_signal_with_directed_forgetting__fmri_results (7).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-12/func/sub-s03_ses-12_task-stopSignalWDirectedForgetting_run-1_echo-1_bold.nii.gz		
sub-s03	ses-12	stopSignalWFlanker	matched	copy	ses-12		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s03/ses-12/stop_signal_with_flanker__fmri_results (8).csv	/scratch/users/logben/discovery_bids/sub-s03/ses-12/func/sub-s03_ses-12_task-stopSignalWFlanker_run-1_echo-1_bold.nii.gz		
sub-s10	ses-01	cuedTS	matched	copy	ses-01		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s10/ses-01/cued_task_switching_single_task_network__fmri_results (4).csv	/scratch/users/logben/discovery_bids/sub-s10/ses-01/func/sub-s10_ses-01_task-cuedTS_run-1_echo-1_bold.nii.gz		- ses-01 nBack is exclusions data for some reason, see /oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/exclusions/s180/ses-12/shape_matching_with_cued_task_switching__fmri_results (3).csv
sub-s10	ses-01	flanker	matched	copy	ses-01		/oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/s10/ses-01/flanker_single_task_network__fmri_results (4).csv	/scratch/users/logben/discovery_bids/sub-s10/ses-01/func/sub-s10_ses-01_task-flanker_run-1_echo-1_bold.nii.gz		- Has extra stopSignal and flanker.; - ses-01 nBack is exclusions data for some reason, see /oak/stanford/groups/russpold/data/network_grant/_archive_someone_plz_clean/behavioral_data/raw_cleaned/exclusions/s180/ses-12/shape_matching_with_cued_task_switching__fmri_results (3).csv
